PK_LocationId,Location,Preposition,LocationWASId,ParentLevel,Weight,Map,Order,Status,Latitude,Longitude,polygonVertex,majorLocation
5801064,TERMINAL DE TRANSPORTE,'',5801064,5800103,0,0,0,2,10.401564,-75.453964,'',NULL
5801065,OLAYA SC LA MAGDALENA,'',5801065,5800102,0,0,0,2,10.404715,-75.476316,'',NULL
5801066,OLAYA VILLA OLIMPICA,'',5801066,5800102,0,0,0,2,10.403076,-75.495112,'',NULL
5801067,EL BOSQUE,'',5801067,5800101,0,0,0,2,10.392792,-75.525883,'',NULL
5801068,CHIQUINQUIRA,'',5801068,5800102,0,0,0,2,10.402812,-75.492001,'',NULL
5801069,TRECE DE JUNIO,'',5801069,5800102,0,0,0,2,10.403307,-75.483929,'',NULL
5801070,REPUBLICA DE VENEZUELA,'',5801070,5800102,0,0,0,2,10.404086,-75.488835,'',NULL
5801071,ZARAGOCILLA,'',5801071,5800101,0,0,0,2,10.399203,-75.504022,'',NULL
5801072,OLAYA SC STELLA,'',5801072,5800102,0,0,0,2,10.40529,-75.482424,'',NULL
5801073,ESCALLON VILLA,'',5801073,5800101,0,0,0,2,10.399889,-75.497817,'',NULL
5801074,PIEDRA DE BOLIVAR,'',5801074,5800101,0,0,0,2,10.401405,-75.508508,'',NULL
5801075,JOSE OBRERO,'',5801075,5800102,0,0,0,2,10.403187,-75.478032,'',NULL
5801076,LAS LOMAS Y MONSERRATE,'',5801076,5800101,0,0,0,2,10.40195,-75.513739,'',NULL
5801077,LAS GAVIOTAS,'',5801077,5800102,0,0,0,2,10.40041,-75.488803,'',NULL
5801078,NUEVO PORVENIR,'',5801078,5800102,0,0,0,2,10.401847,-75.475851,'',NULL
5801079,LOS ALPES,'',5801079,5800102,0,0,0,2,10.397502,-75.482696,'',NULL
5801080,PARAGUAY,'',5801080,5800101,0,0,0,2,10.398596,-75.513585,'',NULL
5801081,PROVIDENCIA,'',5801081,5800103,0,0,0,2,10.391288,-75.462045,'',NULL
5801082,JUAN XXIII,'',5801082,5800101,0,0,0,2,10.400483,-75.517325,'',NULL
5801083,JUNIN,'',5801083,5800101,0,0,0,2,10.400996,-75.512189,'',NULL
5801084,LAS PALMERAS,'',5801084,5800102,0,0,0,2,10.399775,-75.471076,'',NULL
5801085,LOS CEREZOS,'',5801085,5800102,0,0,0,2,10.398945,-75.475081,'',NULL
5801086,JOSE ANTONIO GALAN,'',5801086,5800101,0,0,0,2,10.399328,-75.510268,'',NULL
5801087,VIEJO PORVENIR,'',5801087,5800102,0,0,0,2,10.398912,-75.478422,'',NULL
5801088,EL LAGUITO,'',5801088,5800101,0,0,0,2,10.395602,-75.561734,'',NULL
5801089,NUEVE DE ABRIL,'',5801089,5800101,0,0,0,2,10.398427,-75.507142,'',NULL
5801090,SAN ISIDRO,'',5801090,5800101,0,0,0,2,10.391186,-75.513247,'',NULL
5801091,LAS BRISAS,'',5801091,5800101,0,0,0,2,10.397803,-75.509038,'',NULL
5801092,REPUBLICA DE CHILE,'',5801092,5800101,0,0,0,2,10.395665,-75.514273,'',NULL
5801093,VILLA ROSITA,'',5801093,5800103,0,0,0,2,10.397095,-75.469412,'',NULL
5801094,LOS CALAMARES,'',5801094,5800101,0,0,0,2,10.393739,-75.498625,'',NULL
5801095,EL GALLO,'',5801095,5800102,0,0,0,2,10.397154,-75.476108,'',NULL
5801096,LA CASTELLANA,'',5801096,5800102,0,0,0,2,10.396107,-75.486361,'',NULL
5801097,CHIPRE,'',5801097,5800102,0,0,0,2,10.395624,-75.488807,'',NULL
5801098,NUEVA GRANADA,'',5801098,5800101,0,0,0,2,10.395711,-75.507047,'',NULL
5801099,SAN ANTONIO,'',5801099,5800102,0,0,0,2,10.396346,-75.49044,'',NULL
5801100,ANITA,'',5801100,5800103,0,0,0,2,10.395736,-75.475376,'',NULL
5801101,LA CAMPIÑA,'',5801101,5800101,0,0,0,2,10.39389,-75.501766,'',NULL
5801102,LOS ANGELES,'',5801102,5800101,0,0,0,2,10.394507,-75.490211,'',NULL
5801103,LOS CERROS,'',5801103,5800101,0,0,0,2,10.393972,-75.512394,'',NULL
5801104,LOS CERROS SC CERRO MAR,'',5801104,5800101,0,0,0,2,10.394983,-75.510343,'',NULL
5801105,SANTA LUCIA,'',5801105,5800103,0,0,0,2,10.393522,-75.480489,'',NULL
5801106,BUENOS AIRES,'',5801106,5800101,0,0,0,2,10.392949,-75.492305,'',NULL
5801107,MANZANARES,'',5801107,5800101,0,0,0,2,10.393873,-75.509792,'',NULL
5801108,LA CONCEPCION,'',5801108,5800103,0,0,0,2,10.390459,-75.475276,'',NULL
5801109,TACARIGUA,'',5801109,5800101,0,0,0,2,10.392481,-75.490463,'',NULL
5801110,VILLA SANDRA,'',5801110,5800101,0,0,0,2,10.393468,-75.487881,'',NULL
5801111,ALTOS DE SAN ISIDRO,'',5801111,5800101,0,0,0,2,10.392577,-75.511437,'',NULL
5801112,NUEVO BOSQUE,'',5801112,5800101,0,0,0,2,10.39093,-75.507399,'',NULL
5801113,RUBI,'',5801113,5800101,0,0,0,2,10.393336,-75.484612,'',NULL
5801114,EL COUNTRY,'',5801114,5800101,0,0,0,2,10.391212,-75.498366,'',NULL
5801115,LAS DELICIAS,'',5801115,5800101,0,0,0,2,10.392154,-75.489486,'',NULL
5801116,LA TRONCAL,'',5801116,5800101,0,0,0,2,10.391975,-75.49378,'',NULL
5801117,SAN PEDRO,'',5801117,5800103,0,0,0,2,10.392284,-75.482703,'',NULL
5801118,EL CARMEN,'',5801118,5800101,0,0,0,2,10.391526,-75.48801,'',NULL
5801119,BLAS DE LEZO,'',5801119,5800103,0,0,0,2,10.386954,-75.486137,'',NULL
5801120,SAN JOSE DE LOS CAMPANOS,'',5801120,5800103,0,0,0,2,10.386104,-75.45823,'',NULL
5801121,EL RECREO,'',5801121,5800103,0,0,0,2,10.388866,-75.471208,'',NULL
5801122,SANTA MONICA,'',5801122,5800103,0,0,0,2,10.389059,-75.479606,'',NULL
5801123,LOS CARACOLES,'',5801123,5800103,0,0,0,2,10.387958,-75.491671,'',NULL
5801124,LA PLAZUELA,'',5801124,5800103,0,0,0,2,10.388357,-75.476721,'',NULL
5801125,SC NUEVO ORIENTE,'',5801125,5800101,0,0,0,2,10.387363,-75.514057,'',NULL
5801126,ALMIRANTE COLON,'',5801126,5800103,0,0,0,2,10.386394,-75.496418,'',NULL
5801127,CEBALLOS,'',5801127,5800103,0,0,0,2,10.386007,-75.505273,'',NULL
5801128,ALAMEDA LA VICTORIA,'',5801128,5800103,0,0,0,2,10.384251,-75.475406,'',NULL
5801129,EL SOCORRO,'',5801129,5800103,0,0,0,2,10.383665,-75.480811,'',NULL
5801130,LOS CORALES,'',5801130,5800103,0,0,0,2,10.386185,-75.500985,'',NULL
5801131,BOSQUES DE LA CEIBA,'',5801131,5800103,0,0,0,2,10.387073,-75.451345,'',NULL
5801132,TERNERA,'',5801132,5800103,0,0,0,2,10.384732,-75.464431,'',NULL
5801133,LA CENTRAL,'',5801133,5800103,0,0,0,2,10.385112,-75.490374,'',NULL
5801134,BERLIN,'',5801134,5800103,0,0,0,2,10.383852,-75.471115,'',NULL
5801135,BOSQUES DE LA CIRCUNVALAR,'',5801135,5800103,0,0,0,2,10.385204,-75.452082,'',NULL
5801136,VILLA ANDREA,'',5801136,5800103,0,0,0,2,10.384363,-75.452436,'',NULL
5801137,VILLA SOL,'',5801137,5800103,0,0,0,2,10.384006,-75.453276,'',NULL
5801138,EL MILAGRO,'',5801138,5800103,0,0,0,2,10.382541,-75.493002,'',NULL
5801139,EL GOLF,'',5801139,5800103,0,0,0,2,10.383052,-75.495766,'',NULL
5801140,SC PLAN CUATROCIENTOS,'',5801140,5800103,0,0,0,2,10.382572,-75.484965,'',NULL
5801141,LOS CIRUELOS,'',5801141,5800103,0,0,0,2,10.380375,-75.467589,'',NULL
5801142,EL CARMELO,'',5801142,5800103,0,0,0,2,10.381116,-75.488595,'',NULL
5801143,VISTA HERMOSA,'',5801143,5800103,0,0,0,2,10.377765,-75.495205,'',NULL
5801144,LA VICTORIA,'',5801144,5800103,0,0,0,2,10.376203,-75.485809,'',NULL
5801145,LOS JARDINES,'',5801145,5800103,0,0,0,2,10.377401,-75.484234,'',NULL
