PK_LocationId,Location,Preposition,LocationWASId,ParentLevel,Weight,Map,Order,Status,Latitude,Longitude,polygonVertex,majorLocation
7500301,Florida - Casco Antiguo,'',7500301,7500001,0,0,0,2,7.063077,-73.084395,'',NULL
7500302,Cañaveral - Versalles,'',7500302,7500001,0,0,0,2,7.063594,-73.099801,'',NULL
7500303,Bucarica - Caracolí,'',7500303,7500001,0,0,0,2,7.068975,-73.082730,'',NULL
7500304,Caldas - El Reposo,'',7500304,7500001,0,0,0,2,7.094638,-73.100550,'',NULL
7500305,Bosque - Molinos,'',7500305,7500001,0,0,0,2,7.078128,-73.108531,'',NULL
7500306,Lagos - Bellavista,'',7500306,7500001,0,0,0,2,7.075035,-73.105810,'',NULL
7500307,Villabel - Santa Ana,'',7500307,7500001,0,0,0,2,7.082044,-73.099996,'',NULL
7500308,La Cumbre - El Carmen,'',7500308,7500001,0,0,0,2,7.080815,-73.089347,'',NULL
7500309,Ruitoque Condominio,'',7500309,7500001,0,0,0,2,7.027448,-73.087704,'',NULL
