Pk_Id,Fk_LocalizationLevel1Id,Fk_LocalizationLevel2Id,Fk_LocalizationLevel3Id,Name,X,Y,Z,SortingId,Fk_StatusId
7500101,1,75,7500007,Norte - Centro,-73.138135,7.156373,15,10,2
7500102,1,75,7500007,Occidente - Sur,-73.128108,7.149964,15,10,2
7500103,1,75,7500007,Oriente,-73.120055,7.128506,15,10,2
7500104,1,75,7500007,Occidental,-73.133662,7.117188,15,10,2
7500105,1,75,7500007,García Rovira,-73.129351,7.107935,15,10,2
7500106,1,75,7500007,La Concordia,-73.11392,7.11469,15,10,2
7500107,1,75,7500007,La Ciudadela,-73.117056,7.109447,15,10,2
7500108,1,75,7500007,Sur Oriental,-73.115727,7.099893,15,10,2
7500109,1,75,7500007,La Pedregosa,-73.104978,7.090736,15,10,2
7500110,1,75,7500007,Provenza,-73.101425,7.079429,15,10,2
7500111,1,75,7500007,Sur,-73.119937,7.08585,15,10,2
7500112,1,75,7500007,Cabecera del Llano,-73.106826,7.114524,15,10,2
7500113,1,75,7500007,Centro Oriental,-73.111093,7.125512,15,10,2
7500114,1,75,7500007,Morrorico,-73.103058,7.132005,15,10,2
7500115,1,75,7500007,Centro,-73.118476,7.122153,15,10,2
7500116,1,75,7500007,Lagos del Cacique,-73.098191,7.099425,15,10,2
7500117,1,75,7500007,Mutis,-73.127467,7.100609,15,10,2
