polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,group,location
249,,Zona Histórica y del Caribe Norte,colombia-bolivar-cartagena-5800101-zona-historica-y-del-caribe-norte,5800101,,SRID=4326;POINT(-75.575312 10.251463),1,1,2021-11-24 15:8:45,2021-11-24 15:8:45,zonas,"5800003,5801001,5801002,5801003,5801004,5801005,5801006,5801007,5801008,5801009,5801010,5801011,5801012,5801013,5801014,5801015,5801016,5801017,5801018,5801019,5801020,5801021,5801022,5801023,5801024,5801025,5801026,5801027,5801030,5801033,5801034,5801035,5801039,5801047,5801049,5801053,5801060,5801061,5801062,5801063,5801067,5801071,5801073,5801074,5801076,5801080,5801082,5801083,5801086,5801088,5801089,5801090,5801091,5801092,5801094,5801098,5801101,5801102,5801103,5801104,5801106,5801107,5801109,5801110,5801111,5801112,5801113,5801114,5801115,5801116,5801118,5801125,5801174,5801175,5801201,5801202,5801205,5801206,5801207"
249,,Zona De la Virgen y Turística,colombia-bolivar-cartagena-5800102-zona-de-la-virgen-y-turistica,5800102,,SRID=4326;POINT(-75.493625 10.451918),1,1,2021-11-24 15:8:45,2021-11-24 15:8:45,zonas,"5800003,5801028,5801029,5801031,5801032,5801036,5801037,5801038,5801040,5801041,5801042,5801043,5801044,5801045,5801046,5801048,5801050,5801051,5801052,5801054,5801055,5801056,5801057,5801058,5801059,5801065,5801066,5801068,5801069,5801070,5801072,5801075,5801077,5801078,5801079,5801084,5801085,5801087,5801095,5801096,5801097,5801099,5801172,5801173,5801180,5801181,5801204"
249,,Zona Industria de la Bahía,colombia-bolivar-cartagena-5800103-zona-industria-de-la-bahia,5800103,,SRID=4326;POINT(-75.492484 10.34425),1,1,2021-11-24 15:8:45,2021-11-24 15:8:45,zonas,"5800003,5801064,5801081,5801093,5801100,5801105,5801108,5801117,5801119,5801120,5801121,5801122,5801123,5801124,5801126,5801127,5801128,5801129,5801130,5801131,5801132,5801133,5801134,5801135,5801136,5801137,5801138,5801139,5801140,5801141,5801142,5801143,5801144,5801145,5801146,5801147,5801148,5801149,5801150,5801151,5801152,5801153,5801154,5801155,5801156,5801157,5801158,5801159,5801160,5801161,5801162,5801163,5801164,5801165,5801166,5801167,5801168,5801169,5801170,5801171,5801176,5801177,5801178,5801179,5801182,5801183,5801184,5801185,5801186,5801187,5801188,5801189,5801190,5801191,5801192,5801193,5801194,5801195,5801196,5801197,5801198,5801199,5801200,5801203"
