polymorphic_ctype,id,name,slug,fr_place_id,place_code,location_point,is_active,to_filter,created,updated,group,location
249,,Zona Arenales,colombia-santander-giron-7500401-zona-arenales,7500401,,SRID=4326;POINT(-73.168567 7.059882),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504001,7504002,7504003,7504004,7504005,7504006,7504007,7504008,7504009,7504010,7504011,7504012,7504013,7504014,7504015,7504016,7504017,7504018,7504019,7504020"
249,,Zona Bellavista,colombia-santander-giron-7500402-zona-bellavista,7500402,,SRID=4326;POINT(-73.175602 7.075704),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504021,7504022,7504023,7504024,7504025,7504026,7504027,7504028,7504029"
249,,Zona Carrizal,colombia-santander-giron-7500403-zona-carrizal,7500403,,SRID=4326;POINT(-73.172332 7.078357),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504030,7504031,7504032"
249,,Zona Casco Antiguo,colombia-santander-giron-7500404-zona-casco-antiguo,7500404,,SRID=4326;POINT(-73.170145 7.067311),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504033,7504034,7504035,7504036,7504037"
249,,Zona Chimita,colombia-santander-giron-7500405-zona-chimita,7500405,,SRID=4326;POINT(-73.167088 7.085710),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504038,7504039,7504040"
249,,Zona El Poblado,colombia-santander-giron-7500406-zona-el-poblado,7500406,,SRID=4326;POINT(-73.169337 7.073329),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504041,7504042,7504043,7504044,7504045,7504046,7504047,7504048,7504049,7504050,7504051,7504052,7504053,7504054,7504055"
249,,Zona La Aldea,colombia-santander-giron-7500407-zona-la-aldea,7500407,,SRID=4326;POINT(-73.176803 7.067126),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504056,7504057,7504058,7504059,7504060,7504061,7504062,7504063,7504064,7504065"
249,,Zona Mesetas,colombia-santander-giron-7500408-zona-mesetas,7500408,,SRID=4326;POINT(-73.165440 7.056398),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504066,7504067,7504068,7504069,7504070,7504071,7504072,7504073,7504074,7504075,7504076,7504077,7504078,7504079,7504080,7504081,7504082"
249,,Zona Rincón de Girón,colombia-santander-giron-7500409-zona-rincon-de-giron,7500409,,SRID=4326;POINT(-73.164298 7.071796),1,1,2021-10-14 18:37:19,2021-10-14 18:37:19,zonas,"7500004,7504083,7504084,7504085,7504086,7504087,7504088,7504089,7504090,7504091"
